num_clients,seed,round,accuracy,loss
2,0,0,0.1146,2.304595152790935
2,0,1,0.1119,2.248372228000872
2,0,2,0.683,0.7834017926130813
2,0,3,0.7708,0.5679477238997864
2,0,4,0.7938,0.5152449882544649
2,0,5,0.8158,0.4919225043191697
2,0,6,0.8335,0.4470492028675902
2,0,7,0.8328,0.447219121713227
2,0,8,0.8371,0.436530006769747
2,0,9,0.8423,0.41968588528636924
2,0,10,0.85,0.4080877601148221
2,1,0,0.11,2.30400054142498
2,1,1,0.3766,2.1425941477949246
2,1,2,0.6944,0.77402363446193
2,1,3,0.8054,0.522442604215762
2,1,4,0.8346,0.46396230056453436
2,1,5,0.8448,0.4219234522443991
2,1,6,0.8487,0.4074851159042063
2,1,7,0.8507,0.4061487217823537
2,1,8,0.8582,0.3841749455410832
2,1,9,0.8546,0.38853862617438595
2,1,10,0.863,0.3725258547562761
2,2,0,0.0999,2.304891829292614
2,2,1,0.1795,2.196357737714871
2,2,2,0.7017,0.7423126854645178
2,2,3,0.8101,0.5014808050835856
2,2,4,0.8243,0.46571589663577156
2,2,5,0.8399,0.43224403642998716
2,2,6,0.8525,0.4060413182353059
2,2,7,0.8543,0.3949783289442047
2,2,8,0.8575,0.38843494525161415
2,2,9,0.8595,0.38033679508553525
2,2,10,0.8621,0.3700724998697305
2,3,0,0.0622,2.302659483382496
2,3,1,0.2588,2.138426453922503
2,3,2,0.7023,0.7130696832562406
2,3,3,0.8132,0.5001058389489262
2,3,4,0.8463,0.424237381535978
2,3,5,0.8526,0.40010635292949004
2,3,6,0.8562,0.38439040723890544
2,3,7,0.86,0.3749393399911948
2,3,8,0.8639,0.3728891641568071
2,3,9,0.8614,0.3798567441562875
2,3,10,0.8706,0.35810389688696725
2,4,0,0.057,2.3048492369179527
2,4,1,0.318,2.171868844535023
2,4,2,0.7066,0.7372751575879777
2,4,3,0.7933,0.5327360678595096
2,4,4,0.8191,0.48761223904050577
2,4,5,0.8328,0.45707233226337374
2,4,6,0.8352,0.4448960977145277
2,4,7,0.8436,0.42748657711588156
2,4,8,0.8424,0.42344435780478745
2,4,9,0.8481,0.41124040735796236
2,4,10,0.8507,0.40380352173750395
5,0,0,0.1,2.3045303653985165
5,0,1,0.17,2.2479484332636144
5,0,2,0.7128,0.8492166866509678
5,0,3,0.7745,0.5604022658480623
5,0,4,0.7974,0.5169985843733096
5,0,5,0.8218,0.4758190564549388
5,0,6,0.8338,0.44956926853892903
5,0,7,0.8413,0.42464591229495147
5,0,8,0.8417,0.43015877823955334
5,0,9,0.8481,0.41396538072976824
5,0,10,0.8486,0.41263257902555955
5,1,0,0.1846,2.3035000200850515
5,1,1,0.1777,2.24745738315887
5,1,2,0.6914,0.7846464362388221
5,1,3,0.8029,0.5171326380758621
5,1,4,0.8308,0.4584920883369141
5,1,5,0.8459,0.42508134817163024
5,1,6,0.8532,0.4087543434704455
5,1,7,0.8602,0.3914136846130267
5,1,8,0.8615,0.38198614884584475
5,1,9,0.8611,0.3747801519335268
5,1,10,0.8592,0.38445951758672636
5,2,0,0.1003,2.305223113812578
5,2,1,0.1631,2.2539064587114717
5,2,2,0.7102,0.7401620029641417
5,2,3,0.8042,0.5106506272912407
5,2,4,0.8316,0.45578483784922397
5,2,5,0.8395,0.4385200619888001
5,2,6,0.851,0.4062249261540727
5,2,7,0.8514,0.40112670941855577
5,2,8,0.8582,0.39026423050953557
5,2,9,0.8623,0.37642323213834733
5,2,10,0.863,0.37120944456741833
5,3,0,0.0839,2.305706803410198
5,3,1,0.24,2.1785483977284295
5,3,2,0.7101,0.7385198930962779
5,3,3,0.8017,0.5091048895170133
5,3,4,0.8323,0.4548425808215675
5,3,5,0.8442,0.42136579037855226
5,3,6,0.851,0.40054347104253096
5,3,7,0.8562,0.3899495312200187
5,3,8,0.8583,0.3814845615730118
5,3,9,0.8594,0.3749012717138083
5,3,10,0.8584,0.3750382163368475
5,4,0,0.0881,2.3056533831757857
5,4,1,0.2391,2.198012435779023
5,4,2,0.6678,0.7921585808165919
5,4,3,0.7949,0.5339456995645651
5,4,4,0.8357,0.45035584937459744
5,4,5,0.8424,0.4390707068359509
5,4,6,0.8511,0.40886461363432886
5,4,7,0.8545,0.39957595752260555
5,4,8,0.8612,0.3851102902390325
5,4,9,0.8625,0.37898888208043463
5,4,10,0.8618,0.3754248859735724
10,0,0,0.1,2.304754468960503
10,0,1,0.3217,2.093090951633149
10,0,2,0.7358,0.7343426418190185
10,0,3,0.8056,0.5169389350250506
10,0,4,0.831,0.46173431298222406
10,0,5,0.8419,0.43229284670691903
10,0,6,0.8505,0.41486468070897814
10,0,7,0.8554,0.40364354658431517
10,0,8,0.8566,0.3974638537477
10,0,9,0.8619,0.37934181860651073
10,0,10,0.8612,0.37992665266838316
10,1,0,0.0671,2.3050653050882746
10,1,1,0.2198,2.231200463474749
10,1,2,0.7067,0.7509185145266901
10,1,3,0.7868,0.5338722765445709
10,1,4,0.8131,0.4903291743784286
10,1,5,0.8286,0.46402556841937115
10,1,6,0.8413,0.4351967728366486
10,1,7,0.8463,0.4219083981677747
10,1,8,0.8538,0.40822047018966734
10,1,9,0.8594,0.3898695526888576
10,1,10,0.8575,0.3878679243615641
10,2,0,0.1254,2.303305619060041
10,2,1,0.1,2.2533093245265583
10,2,2,0.669,0.8404206073703095
10,2,3,0.7879,0.5280812397932473
10,2,4,0.8322,0.4633558599141459
10,2,5,0.8461,0.4267424307882595
10,2,6,0.8521,0.4080953078624159
10,2,7,0.8554,0.3947294216376905
10,2,8,0.8588,0.38357606915810616
10,2,9,0.8624,0.3810522636999718
10,2,10,0.8637,0.3762116345068136
10,3,0,0.0755,2.302876339933743
10,3,1,0.1835,2.2276131375529133
10,3,2,0.7144,0.8078718128295752
10,3,3,0.7872,0.5335395575617068
10,3,4,0.8263,0.48154925438352286
10,3,5,0.8342,0.45375223986256996
10,3,6,0.8424,0.4241032189073654
10,3,7,0.8482,0.4087776398173156
10,3,8,0.8506,0.4007532501611085
10,3,9,0.8548,0.39910148127010453
10,3,10,0.8568,0.39193296806214334
10,4,0,0.0956,2.3050768017388
10,4,1,0.312,2.1326688173860786
10,4,2,0.709,0.7205904723165896
10,4,3,0.8101,0.5081749998818571
10,4,4,0.8296,0.4577007815003776
10,4,5,0.845,0.42298795337589407
10,4,6,0.8528,0.41174694843376025
10,4,7,0.8558,0.3952762527635303
10,4,8,0.8577,0.38626423501930296
10,4,9,0.8628,0.376722413725175
10,4,10,0.8603,0.380773394204938
20,0,0,0.061,2.303725928925097
20,0,1,0.2316,2.2059633038676205
20,0,2,0.6724,0.8653668698411399
20,0,3,0.7976,0.5290086222723269
20,0,4,0.8352,0.4501197028179138
20,0,5,0.8462,0.4191783958444961
20,0,6,0.8479,0.4036553474708487
20,0,7,0.8522,0.39374169416892263
20,0,8,0.8582,0.3776111638250823
20,0,9,0.8592,0.3804648646388572
20,0,10,0.8618,0.3737757331170975
20,1,0,0.1,2.3074850990368536
20,1,1,0.2164,2.19465161436282
20,1,2,0.7061,0.8029131272349495
20,1,3,0.7886,0.5244120160421244
20,1,4,0.8323,0.4613730000516477
20,1,5,0.8437,0.4339931076422286
20,1,6,0.8487,0.4098985145410029
20,1,7,0.8526,0.3992332740427968
20,1,8,0.8552,0.3991630733394013
20,1,9,0.8596,0.3913166381109256
20,1,10,0.8589,0.38350802557632185
20,2,0,0.0929,2.3051276069860487
20,2,1,0.2558,2.173995642616345
20,2,2,0.6821,0.8045757126313048
20,2,3,0.7834,0.5476426190366379
20,2,4,0.8092,0.5032937260100636
20,2,5,0.8311,0.455467512194341
20,2,6,0.8414,0.4331629821382011
20,2,7,0.8467,0.41408536338006346
20,2,8,0.8478,0.4052393558783272
20,2,9,0.854,0.3916480395550164
20,2,10,0.8582,0.3903067197662573
20,3,0,0.1,2.304540106282828
20,3,1,0.1142,2.272701162118881
20,3,2,0.6752,0.8621823709612837
20,3,3,0.7831,0.5512281607705564
20,3,4,0.8349,0.46647164001822855
20,3,5,0.8432,0.43843135152000207
20,3,6,0.8498,0.4140267157897401
20,3,7,0.8552,0.4009030353242216
20,3,8,0.8566,0.39229999827786377
20,3,9,0.8598,0.38132143575257765
20,3,10,0.8629,0.37854886157348894
20,4,0,0.0987,2.3029201122137684
20,4,1,0.1528,2.1761648616851708
20,4,2,0.6925,0.7873956508720263
20,4,3,0.7881,0.5425304184896877
20,4,4,0.8214,0.4757831840279003
20,4,5,0.8355,0.4515796446571716
20,4,6,0.843,0.4273335905596852
20,4,7,0.8485,0.41255328373406264
20,4,8,0.8474,0.41576246255502913
20,4,9,0.8506,0.39863318076339394
20,4,10,0.8552,0.393261313914491
